epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,199.218,0,48.0403,0,0.00357,1,0.05853,0.00741,3.31768,4.76024,3.54314,0.000399153,0.000399153,0.000399153
64,202.404,0,47.9527,0,0.00357,1,0.05853,0.00741,3.31768,4.76024,3.54314,0.000395194,0.000395194,0.000395194
65,205.616,0,47.8162,0,0.00357,1,0.05853,0.00741,3.31768,4.76024,3.54314,0.000390905,0.000390905,0.000390905
66,208.792,0,47.7644,0,0.00352,1,0.01276,0.00195,3.46394,4.87848,3.73114,0.000386286,0.000386286,0.000386286
67,211.971,0,48.5044,0,0.00352,1,0.01276,0.00195,3.46394,4.87848,3.73114,0.000381336,0.000381336,0.000381336
68,214.999,0,50.8186,0,0.00352,1,0.01276,0.00195,3.46394,4.87848,3.73114,0.000376057,0.000376057,0.000376057
69,218.118,0,47.8997,0,0.00352,1,0.24875,0.04975,3.27472,4.56554,3.46057,0.000370447,0.000370447,0.000370447
70,221.099,0,47.0872,0,0.00352,1,0.24875,0.04975,3.27472,4.56554,3.46057,0.000364508,0.000364508,0.000364508
71,224.127,0,47.1644,0,0.00352,1,0.24875,0.04975,3.27472,4.56554,3.46057,0.000358238,0.000358238,0.000358238
72,227.171,0,47.0081,0,0.00356,1,0.07107,0.01421,3.22428,4.40179,3.34489,0.000351639,0.000351639,0.000351639
73,230.311,0,46.9004,0,0.00356,1,0.07107,0.01421,3.22428,4.40179,3.34489,0.000344709,0.000344709,0.000344709
74,233.28,0,46.951,0,0.00356,1,0.07107,0.01421,3.22428,4.40179,3.34489,0.000337449,0.000337449,0.000337449
75,236.389,0,47.5658,0,0.0036,1,0.07654,0.00881,3.24796,4.33457,3.44142,0.000329859,0.000329859,0.000329859
76,239.507,0,46.7869,0,0.0036,1,0.07654,0.00881,3.24796,4.33457,3.44142,0.000321939,0.000321939,0.000321939
77,242.437,0,46.8503,0,0.0036,1,0.07654,0.00881,3.24796,4.33457,3.44142,0.000313689,0.000313689,0.000313689
78,245.496,0,47.0029,0,0.00366,1,0.03431,0.00548,3.3294,4.59178,3.58961,0.000305109,0.000305109,0.000305109
79,248.443,0,46.941,0,0.00366,1,0.03431,0.00548,3.3294,4.59178,3.58961,0.000296199,0.000296199,0.000296199
80,251.404,0,46.6756,0,0.00366,1,0.03431,0.00548,3.3294,4.59178,3.58961,0.000286959,0.000286959,0.000286959
81,254.535,0,46.6267,0,0.00368,1,0.03431,0.00555,3.41892,4.98591,3.81133,0.000277389,0.000277389,0.000277389
82,257.643,0,46.4761,0,0.00368,1,0.03431,0.00555,3.41892,4.98591,3.81133,0.000267488,0.000267488,0.000267488
83,260.672,0,46.5155,0,0.00368,1,0.03431,0.00555,3.41892,4.98591,3.81133,0.000257258,0.000257258,0.000257258
84,263.757,0,46.3208,0,0.0035,1,0.01579,0.00158,3.60488,5.61503,3.90266,0.000246698,0.000246698,0.000246698
85,266.777,0,46.2332,0,0.0035,1,0.01579,0.00158,3.60488,5.61503,3.90266,0.000235807,0.000235807,0.000235807
86,269.949,0,46.4513,0,0.0035,1,0.01579,0.00158,3.60488,5.61503,3.90266,0.000224587,0.000224587,0.000224587
87,273.003,0,46.1303,0,0.0035,1,0.01579,0.00158,3.60488,5.61503,3.90266,0.000213036,0.000213036,0.000213036
88,276.362,0,46.4987,0,0.00346,1,0.01531,0.00153,3.7067,5.12424,3.78889,0.000201155,0.000201155,0.000201155
89,279.291,0,45.9767,0,0.00346,1,0.01531,0.00153,3.7067,5.12424,3.78889,0.000188944,0.000188944,0.000188944
90,282.464,0,45.9713,0,0.00346,1,0.01531,0.00153,3.7067,5.12424,3.78889,0.000176404,0.000176404,0.000176404
91,285.498,0,46.1572,0,0.00346,1,0.01531,0.00153,3.7067,5.12424,3.78889,0.000163533,0.000163533,0.000163533
92,288.952,0,46.1778,0,0.00362,1,0.01259,0.00126,3.62282,5.01914,3.69436,0.000150332,0.000150332,0.000150332
93,291.985,0,46.1363,0,0.00362,1,0.01259,0.00126,3.62282,5.01914,3.69436,0.000136801,0.000136801,0.000136801
94,295.025,0,45.7987,0,0.00362,1,0.01259,0.00126,3.62282,5.01914,3.69436,0.00012294,0.00012294,0.00012294
95,298.033,0,45.9429,0,0.00362,1,0.01259,0.00126,3.62282,5.01914,3.69436,0.000108748,0.000108748,0.000108748
96,301.119,0,45.9865,0,0.00373,1,0.0107,0.00107,3.53827,4.81223,3.60908,9.42272e-05,9.42272e-05,9.42272e-05
97,304.144,0,45.7371,0,0.00373,1,0.0107,0.00107,3.53827,4.81223,3.60908,7.93759e-05,7.93759e-05,7.93759e-05
98,307.182,0,45.848,0,0.00373,1,0.0107,0.00107,3.53827,4.81223,3.60908,6.41945e-05,6.41945e-05,6.41945e-05
99,310.331,0,45.8235,0,0.00373,1,0.0107,0.00107,3.53827,4.81223,3.60908,4.86831e-05,4.86831e-05,4.86831e-05
100,313.811,0,45.7996,0,0.00366,1,0.01171,0.00117,3.50355,4.23194,3.5219,3.28416e-05,3.28416e-05,3.28416e-05
